quarter,source_file,source_sheet,occupancy,revpar
2015Q1,828c0670-a580-4ec4-8022-d125623dc0cf.xls,TABLE27,94.8,393.0
2015Q2,6dea1229-b82f-4dca-9f2f-17027c699263.xls,TABLE31,95.9,361.0
2015Q3,4337d88a-2b66-41f4-90ca-304682b0129a.xls,TABLE31,98.0,423.0
2016Q1,8efd42a2-44aa-4d40-98cb-1b45762eb00b.xls,TABLE19,97.9,386.0
2016Q2,4cf028c6-f4d9-4d2f-b6b2-f982808f071b.xls,TABLE19,96.4,362.0
2016Q3,54337409-e0df-4e72-92f6-6004a1d3c6c9.xls,TABLE20,98.3,467.0
2017Q1,609cc01f-37e8-42a3-a4d3-9c5c76698c30.xls,TABLE19,96.9,422.0
2017Q2,2714188c-2c4f-4d86-b8b5-4c2fbc2a8c69.xls,TABLE19,94.3,375.0
2017Q3,e2ba2572-1e33-4a05-88a0-a1a39fb2548d.xls,TABLE26,95.9,409.0
2018Q1,f6b4cbdb-6c94-48a8-b0c3-76ea5d9480f5.xls,TABLE19,96.8,440.0
2018Q2,8d6a4397-3cbc-43be-b36e-6de9ce3c1f74.xls,TABLE20,96.9,405.0
2018Q3,8fafb127-7aa1-455b-a7ca-ff0c768b1782.xls,TABLE21,97.5,455.0
2019Q1,0c50861f-7d12-4145-a3b1-99b83d532326.xls,TABLE19,98.1,446.0
2019Q2,719a76ed-9ec5-421d-877a-9e6d5d3918c8.xls,TABLE24,97.2,408.0
2019Q3,de5412fa-c385-469f-ad01-e210559d9dc5.xls,TABLE23,97.7,465.0
2020Q1,17cad361-69a8-4db7-ab62-1802d3300fb6.xls,TABLE18,81.0,338.0
2020Q2,8c2f2f7b-8d51-4204-a08c-800975cf93b5.xls,TABLE20,40.2,132.0
2020Q3,f8c98e29-f7b4-4b18-a808-2d399978f3ec.xls,TABLE21,55.5,143.0
2021Q1,fe1c8763-ed46-4686-b843-b446c214a75f.xls,TABLE22,63.0,143.0
2021Q2,75a1121c-4ae8-4bf8-b7b7-dd5bcb739840.xls,TABLE20,67.9,150.0
2021Q3,9f28e0f3-e903-4494-9f66-9e839ca4d999.xls,TABLE21,71.7,169.0
2022Q1,5327c20b-80d0-438c-8297-3df8eb09c589.xls,TABLE20,83.8,215.0
2022Q2,98c633c0-e527-468b-b3c9-8cd702ff81a1.xls,TABLE21,93.9,310.0
2022Q3,d3ac9be9-66c8-4263-a046-0d49f38924f0.xls,TABLE21,96.0,494.0
